# Английский перевод интерфейса. Формат: русский<TAB>английский
# Строки без перевода остаются как есть.
 ч	 h
 МБ	 MB
 ч 	 h 
Гео	Geo
вкл	on
нет	no
 МБ.	 MB.
 из 	 of 
 мин	 min
 млн	 M
 тыс	 k
 ч. 	 h. 
Время	Time
Досье	Dossier
ИТОГО	TOTAL
МОЖНО	CAN
Обзор	Overview
Откат	Undo
Страж	Guard
было 	was 
 знач.	 values
 соед.	 conn.
Другое	Other
Журнал	Log
Камера	Camera
Модули	Modules
Ошибка	Error
Ошибок	Errors
Путь: 	Path: 
СЕЙЧАС	NOW
Снимок	Snapshot
вчера 	yesterday 
В сутки	Per day
Готово.	Done.
Датчики	Sensors
Монитор	Monitor
Ошибка.	Error.
Рентген	X-ray
Система	System
включён	on
событий	events
 в сутки	 per day
Движок (	Engine (
Микрофон	Microphone
Обновить	Refresh
Проверка	Verify
включено	on
включены	on
выключен	off
запрещён	denied
на посту	on duty
проходит	passes
разрешён	allowed
сегодня 	today 
 (сборка 	 (build 
 МБ в год	 MB per year
 дн назад	 d ago
 настроек	 settings
 → стало 	 → now 
Запретить	Deny
Запрещено	Denied
Изменение	Change
Изменений	Changes
Настройки	Settings
Отключить	Turn off
Подождите	Please wait
Применено	Applied
Применить	Apply
Проверить	Verify
Программы	Programs
Снять всё	Clear all
Состояние	Status
выключено	off
выключены	off
 · сборка 	 · build 
 мин назад	 min ago
 применено	 applied
 — доступ 	 — access 
ИИ Windows	Windows AI
Исправлено	Fixed
Приложения	Apps
Применено 	Applied 
Прочитано 	Read 
за 24 часа	last 24 hours
нет данных	no data
только что	just now
установлен	installed
   (сборка 	   (build 
Выбрать всё	Select all
Диагностика	Diagnostics
Замер «до»…	Baseline…
О программе	About
Папка копий	Backup folder
Проверено: 	Checked: 
Продолжить?	Continue?
Сканировать	Scan
Уведомления	Alerts
  •  сборка 	  •  build 
 МБ в буфере	 MB queued
 событий за 	 events over 
Безопасность	Safety
Ваша система	Your system
Датчики: вкл	Sensors: on
Жёсткие меры	Hard measures
К телеметрии	To telemetry
Не применено	Not applied
Обслуживание	Maintenance
Определение…	Detecting…
По умолчанию	Defaults
всё на месте	all in place
можно убрать	can be removed
уйдёт за год	per year
Можно стереть	Can be wiped
Подтверждение	Confirmation
Самопроверка…	Self-test…
След на диске	Trace on disk
Собрать досье	Collect dossier
Стереть копию	Wipe local copy
